#     Step;    Sim. Time;   Iter;    t_Ener;    t_Grad;       Temp;       E_Kin;           E_Pot;           E_Tot;        Cons.Qty;   E.Drift
        90;         45.0;      9;     17.05;      7.79;    1555.72;    0.229090;     -926.338280;     -926.109190;     -926.022228;     -0.37
        91;         45.5;      9;     16.98;      7.83;    1555.39;    0.229042;     -926.339133;     -926.110091;     -926.022200;     -0.27
        92;         46.0;      7;     14.14;      7.72;    1561.10;    0.229883;     -926.340925;     -926.111043;     -926.022218;     -0.33
        93;         46.5;      8;     15.50;      7.72;    1570.80;    0.231311;     -926.343358;     -926.112047;     -926.022282;     -0.55
        94;         47.0;      9;     16.78;      7.68;    1578.26;    0.232410;     -926.345477;     -926.113067;     -926.022357;     -0.80
        95;         47.5;      9;     16.85;      7.78;    1576.63;    0.232169;     -926.346216;     -926.114047;     -926.022391;     -0.92
        96;         48.0;      8;     15.52;      7.68;    1562.97;    0.230158;     -926.345110;     -926.114953;     -926.022363;     -0.82
        97;         48.5;      8;     15.57;      7.64;    1540.32;    0.226822;     -926.342628;     -926.115805;     -926.022298;     -0.60
        98;         49.0;      9;     16.70;      7.72;    1515.16;    0.223117;     -926.339770;     -926.116653;     -926.022246;     -0.43
        99;         49.5;      8;     15.48;      7.69;    1492.84;    0.219831;     -926.337351;     -926.117520;     -926.022230;     -0.37
       100;         50.0;      9;     16.70;      7.60;    1475.30;    0.217248;     -926.335642;     -926.118394;     -926.022235;     -0.39
       101;         50.5;      7;     13.86;      7.52;    1462.17;    0.215314;     -926.334576;     -926.119261;     -926.022242;     -0.41
       102;         51.0;      7;     13.81;      7.50;    1452.57;    0.213901;     -926.334019;     -926.120118;     -926.022246;     -0.43
       103;         51.5;      9;     16.36;      7.49;    1445.71;    0.212891;     -926.333864;     -926.120973;     -926.022253;     -0.45
       104;         52.0;      9;     16.38;      7.47;    1440.78;    0.212164;     -926.333987;     -926.121823;     -926.022259;     -0.47
       105;         52.5;      9;     16.34;      7.46;    1437.17;    0.211633;     -926.334291;     -926.122658;     -926.022252;     -0.45
       106;         53.0;      9;     16.30;      7.42;    1436.11;    0.211476;     -926.334912;     -926.123436;     -926.022190;     -0.24
       107;         53.5;      8;     14.99;      7.42;    1438.85;    0.211880;     -926.336279;     -926.124399;     -926.022310;     -0.64
       108;         54.0;      8;     14.99;      7.41;    1445.39;    0.212843;     -926.338019;     -926.125176;     -926.022240;     -0.41
       109;         54.5;      8;     14.89;      7.36;    1457.07;    0.214564;     -926.340601;     -926.126038;     -926.022245;     -0.42
       110;         55.0;      7;     13.45;      7.34;    1473.91;    0.217043;     -926.343986;     -926.126944;     -926.022282;     -0.55
       111;         55.5;      7;     13.54;      7.34;    1492.21;    0.219738;     -926.347617;     -926.127878;     -926.022335;     -0.73
       112;         56.0;      9;     16.01;      7.42;    1507.04;    0.221922;     -926.350732;     -926.128810;     -926.022373;     -0.86
       113;         56.5;      8;     15.04;      7.45;    1515.00;    0.223094;     -926.352804;     -926.129711;     -926.022375;     -0.86
       114;         57.0;      9;     16.27;      7.44;    1516.16;    0.223265;     -926.353848;     -926.130583;     -926.022347;     -0.77
       115;         57.5;      9;     16.06;      7.44;    1513.29;    0.222843;     -926.354297;     -926.131454;     -926.022321;     -0.68
       116;         58.0;      8;     14.77;      7.25;    1509.17;    0.222235;     -926.354576;     -926.132341;     -926.022312;     -0.65
       117;         58.5;      9;     15.73;      7.18;    1504.91;    0.221609;     -926.354844;     -926.133235;     -926.022315;     -0.66
       118;         59.0;      9;     15.67;      7.19;    1500.47;    0.220953;     -926.355077;     -926.134123;     -926.022315;     -0.66
       119;         59.5;      8;     14.34;      7.19;    1495.76;    0.220260;     -926.355264;     -926.135004;     -926.022310;     -0.64
       120;         60.0;      8;     14.35;      7.10;    1490.98;    0.219557;     -926.355440;     -926.135883;     -926.022309;     -0.64
       121;         60.5;      9;     15.52;      7.15;    1486.09;    0.218836;     -926.355602;     -926.136766;     -926.022313;     -0.65
       122;         61.0;      9;     15.43;      7.09;    1480.52;    0.218016;     -926.355661;     -926.137645;     -926.022319;     -0.67
       123;         61.5;      8;     14.18;      7.07;    1473.71;    0.217014;     -926.355524;     -926.138511;     -926.022317;     -0.67
       124;         62.0;      8;     14.31;      7.04;    1465.95;    0.215870;     -926.355228;     -926.139357;     -926.022300;     -0.61
       125;         62.5;      8;     14.12;      7.03;    1458.68;    0.214800;     -926.354993;     -926.140193;     -926.022279;     -0.54
       126;         63.0;      9;     15.32;      6.93;    1453.81;    0.214083;     -926.355119;     -926.141036;     -926.022268;     -0.50
       127;         63.5;      7;     12.66;      6.96;    1452.26;    0.213855;     -926.355756;     -926.141901;     -926.022280;     -0.54
       128;         64.0;      7;     12.62;      6.95;    1452.72;    0.213923;     -926.356712;     -926.142789;     -926.022315;     -0.66
       129;         64.5;      9;     15.03;      6.90;    1452.00;    0.213817;     -926.357496;     -926.143678;     -926.022352;     -0.79
       130;         65.0;      9;     15.02;      6.84;    1446.94;    0.213072;     -926.357615;     -926.144543;     -926.022368;     -0.84
       131;         65.5;      9;     14.99;      6.81;    1436.64;    0.211554;     -926.356924;     -926.145370;     -926.022354;     -0.79
       132;         66.0;      9;     14.94;      6.78;    1422.89;    0.209530;     -926.355707;     -926.146177;     -926.022330;     -0.71
       133;         66.5;      8;     13.69;      6.76;    1408.42;    0.207400;     -926.354386;     -926.146987;     -926.022319;     -0.67
       134;         67.0;      8;     13.68;      6.93;    1394.74;    0.205385;     -926.353185;     -926.147800;     -926.022322;     -0.68
       135;         67.5;      9;     14.90;      6.73;    1382.03;    0.203513;     -926.352114;     -926.148601;     -926.022323;     -0.69
       136;         68.0;      9;     14.72;      6.74;    1370.36;    0.201795;     -926.351181;     -926.149386;     -926.022316;     -0.66
       137;         68.5;      7;     12.28;      6.71;    1360.40;    0.200328;     -926.350491;     -926.150163;     -926.022308;     -0.64
       138;         69.0;      7;     12.38;      6.72;    1352.85;    0.199216;     -926.350158;     -926.150943;     -926.022309;     -0.64
       139;         69.5;      9;     14.64;      6.66;    1347.57;    0.198439;     -926.350169;     -926.151730;     -926.022321;     -0.68
       140;         70.0;      9;     14.80;      6.64;    1343.41;    0.197826;     -926.350347;     -926.152520;     -926.022339;     -0.74
       141;         70.5;      9;     14.58;      6.72;    1338.69;    0.197131;     -926.350434;     -926.153302;     -926.022352;     -0.79
       142;         71.0;      9;     14.74;      6.71;    1332.15;    0.196168;     -926.350237;     -926.154069;     -926.022355;     -0.80
       143;         71.5;      8;     13.71;      6.72;    1323.55;    0.194902;     -926.349722;     -926.154820;     -926.022349;     -0.78
       144;         72.0;      9;     14.55;      6.61;    1313.62;    0.193439;     -926.349000;     -926.155562;     -926.022340;     -0.75
       145;         72.5;      7;     12.12;      6.59;    1303.34;    0.191926;     -926.348228;     -926.156301;     -926.022338;     -0.74
       146;         73.0;      9;     14.33;      6.55;    1293.30;    0.190447;     -926.347488;     -926.157041;     -926.022342;     -0.75
       147;         73.5;      7;     12.02;      6.63;    1283.45;    0.188997;     -926.346772;     -926.157775;     -926.022349;     -0.77
       148;         74.0;      8;     13.17;      6.55;    1273.54;    0.187537;     -926.346038;     -926.158500;     -926.022354;     -0.79
       149;         74.5;      9;     14.44;      6.55;    1263.19;    0.186014;     -926.345235;     -926.159221;     -926.022361;     -0.82
       150;         75.0;      8;     13.19;      6.51;    1251.66;    0.184316;     -926.344251;     -926.159935;     -926.022372;     -0.85
       151;         75.5;      8;     13.15;      6.47;    1238.07;    0.182313;     -926.342942;     -926.160629;     -926.022371;     -0.85
       152;         76.0;      8;     13.09;      6.47;    1222.53;    0.180026;     -926.341316;     -926.161290;     -926.022350;     -0.78
