#     Step;    Sim. Time;   Iter;    t_Ener;    t_Grad;       Temp;       E_Kin;           E_Pot;           E_Tot;        Cons.Qty;   E.Drift
       465;        232.5;      8;     10.66;      5.20;     627.83;    0.092452;     -926.367093;     -926.274641;     -926.022417;     -1.01
       466;        233.0;      8;     10.81;      5.20;     631.69;    0.093020;     -926.367952;     -926.274931;     -926.022462;     -1.16
       467;        233.5;      8;     10.67;      5.21;     633.89;    0.093345;     -926.368555;     -926.275210;     -926.022493;     -1.26
       468;        234.0;      8;     10.78;      5.28;     631.23;    0.092953;     -926.368410;     -926.275456;     -926.022495;     -1.27
       469;        234.5;      8;     11.07;      5.43;     623.46;    0.091808;     -926.367476;     -926.275667;     -926.022467;     -1.17
       470;        235.0;      8;     10.97;      5.45;     613.36;    0.090322;     -926.366177;     -926.275855;     -926.022422;     -1.02
       471;        235.5;      8;     11.08;      5.43;     605.38;    0.089146;     -926.365188;     -926.276042;     -926.022383;     -0.89
       472;        236.0;      7;     10.04;      5.34;     603.33;    0.088844;     -926.365098;     -926.276254;     -926.022371;     -0.85
       473;        236.5;      7;      9.85;      5.29;     608.44;    0.089597;     -926.366100;     -926.276503;     -926.022392;     -0.92
       474;        237.0;      8;     10.71;      5.22;     618.52;    0.091081;     -926.367867;     -926.276786;     -926.022439;     -1.08
       475;        237.5;      8;     10.70;      5.24;     628.78;    0.092591;     -926.369674;     -926.277083;     -926.022492;     -1.26
       476;        238.0;      9;     11.60;      5.21;     633.90;    0.093347;     -926.370713;     -926.277366;     -926.022529;     -1.39
       477;        238.5;      9;     11.67;      5.23;     630.31;    0.092818;     -926.370433;     -926.277615;     -926.022533;     -1.40
       478;        239.0;      9;     11.64;      5.26;     617.65;    0.090953;     -926.368774;     -926.277822;     -926.022505;     -1.30
       479;        239.5;      9;     11.63;      5.21;     598.93;    0.088196;     -926.366190;     -926.277994;     -926.022456;     -1.14
       480;        240.0;      9;     11.73;      5.24;     579.19;    0.085290;     -926.363444;     -926.278154;     -926.022409;     -0.98
       481;        240.5;      9;     11.64;      5.27;     563.14;    0.082926;     -926.361253;     -926.278327;     -926.022388;     -0.91
       482;        241.0;      8;     10.63;      5.29;     552.92;    0.081422;     -926.359950;     -926.278528;     -926.022401;     -0.95
       483;        241.5;      8;     10.67;      5.24;     547.20;    0.080579;     -926.359329;     -926.278750;     -926.022441;     -1.09
       484;        242.0;      8;     10.73;      5.28;     542.05;    0.079821;     -926.358793;     -926.278972;     -926.022483;     -1.23
       485;        242.5;      8;     10.69;      5.31;     533.25;    0.078524;     -926.357691;     -926.279167;     -926.022506;     -1.31
       486;        243.0;      8;     10.91;      5.32;     518.60;    0.076368;     -926.355686;     -926.279318;     -926.022495;     -1.27
       487;        243.5;      8;     10.85;      5.37;     499.26;    0.073520;     -926.352946;     -926.279426;     -926.022456;     -1.14
       488;        244.0;      8;     10.98;      5.31;     479.38;    0.070592;     -926.350098;     -926.279506;     -926.022403;     -0.96
       489;        244.5;      8;     10.62;      5.25;     464.41;    0.068387;     -926.347973;     -926.279586;     -926.022361;     -0.82
       490;        245.0;      9;     11.52;      5.26;     458.60;    0.067532;     -926.347225;     -926.279693;     -926.022351;     -0.78
       491;        245.5;      7;      9.77;      5.24;     462.86;    0.068159;     -926.348003;     -926.279844;     -926.022381;     -0.89
       492;        246.0;      8;     10.68;      5.25;     474.04;    0.069806;     -926.349837;     -926.280030;     -926.022439;     -1.08
       493;        246.5;      8;     10.71;      5.24;     486.26;    0.071606;     -926.351832;     -926.280227;     -926.022497;     -1.28
       494;        247.0;      8;     10.67;      5.29;     493.57;    0.072682;     -926.353085;     -926.280403;     -926.022530;     -1.39
       495;        247.5;      8;     10.69;      5.25;     492.61;    0.072539;     -926.353080;     -926.280540;     -926.022525;     -1.37
       496;        248.0;      8;     10.67;      5.31;     483.88;    0.071255;     -926.351894;     -926.280638;     -926.022487;     -1.24
       497;        248.5;      8;     10.94;      5.45;     471.25;    0.069395;     -926.350111;     -926.280716;     -926.022438;     -1.08
       498;        249.0;      8;     11.45;      5.59;     459.67;    0.067690;     -926.348491;     -926.280801;     -926.022405;     -0.96
       499;        249.5;      8;     11.06;      5.46;     452.49;    0.066632;     -926.347546;     -926.280915;     -926.022406;     -0.97
       500;        250.0;      8;     10.92;      5.36;     449.64;    0.066213;     -926.347270;     -926.281058;     -926.022438;     -1.08
